category,cores,memory,disk,cpu_time,wall_time
ttZ_mAODv2,1,1638,399,7645.04,7790.542
ttZ_mAODv2,1,1837,396,7695.7,7769.368
ttZ_mAODv2,1,1777,401,7699.06,7835.164
ttW_mAODv2,1,1636,331,7771.39,7942.473
ttW_mAODv2,1,1988,335,7777.35,7955.933
ttW_mAODv2,1,1633,333,7786.84,7962.228
ttW_mAODv2,1,1607,335,7796.69,7979.817
ttW_mAODv2,1,1628,337,7816.94,7991.648
ttZ_mAODv2,1,1694,329,7751.36,7931.21
ttZ_mAODv2,1,1520,325,7759.97,7940.242
ttZ_mAODv2,1,1531,325,7773,7959.694
ttZ_mAODv2,1,1678,328,7781.59,7962.908
ttZ_mAODv2,1,1780,402,7482.94,7556.078
ttZ_mAODv2,1,1740,398,7434.83,7491.282
ttZ_mAODv2,1,1964,98,1668.22,1700.014
ttZ_mAODv2,1,1815,402,7468.76,7522.873
ttZ_mAODv2,1,1716,387,7522.61,7574.879
ttZ_mAODv2,1,1702,407,7712.97,7771.248
ttZ_mAODv2,1,1763,401,7449.65,7507.411
ttZ_mAODv2,1,1759,404,7492.87,7553.057
ttZ_mAODv2,1,1800,397,7380.53,7437.549
ttZ_mAODv2,1,1766,399,7581.51,7634.212
ttZ_mAODv2,1,1735,402,7710.01,7774.014
ttW_mAODv2,1,1631,90,1504.11,1530.368
ttW_mAODv2,1,1963,87,1459.76,1486.841
ttZ_mAODv2,1,1626,98,1681.51,1705.711
ttZ_mAODv2,1,1961,99,1713.63,1742.009
ttZ_mAODv2,1,1628,99,1712.17,1740.812
ttW_mAODv2,1,1624,88,1616.3,1645.411
ttZ_mAODv2,1,1630,98,1691.9,1715.821
ttW_mAODv2,1,1962,88,1658.37,1688.531
ttW_mAODv2,1,1965,89,1686.01,1713.513
ttZ_mAODv2,1,1670,399,7489.77,7547.533
ttZ_mAODv2,1,1687,397,7390.97,7455.977
ttZ_mAODv2,1,1629,97,1870.1,1901.884
ttZ_mAODv2,1,1627,98,1861.85,1895.99
ttZ_mAODv2,1,1627,98,1897.87,1931.974
ttZ_mAODv2,1,1962,99,1878.66,1910.116
ttZ_mAODv2,1,1827,403,7536.77,7589.96
ttW_mAODv2,1,1697,374,7084.87,7188.526
ttW_mAODv2,1,1659,365,6739.13,6799.303
ttW_mAODv2,1,1678,371,6857.51,6907.988
ttZ_mAODv2,1,1663,401,7505.59,7570.784
ttW_mAODv2,1,1758,371,7046.9,7101.266
ttW_mAODv2,1,1627,85,1440.24,1491.388
ttW_mAODv2,1,1967,87,1462.69,1512.055
ttW_mAODv2,1,1664,88,1488.95,1538.707
ttW_mAODv2,1,1630,88,1493.16,1542.337
ttW_mAODv2,1,1623,90,1516.98,1569.491
ttZ_mAODv2,1,1632,94,1530.99,1586.218
ttZ_mAODv2,1,1630,96,1664.12,1715.721
