category,cores,memory,disk,cpu_time,wall_time
Analysis,1,256,670,17.5,17.523
Analysis,1,285,715,10.53,10.556
Analysis,1,245,670,18.02,18.033
Analysis,1,287,715,7.55,7.564
Analysis,1,244,670,27,27.028
Analysis,1,284,714,9.07,9.084
Analysis,1,260,670,26.63,26.659
Analysis,1,288,715,9.07,9.094
Analysis,1,240,670,25.07,25.096
Analysis,1,286,715,8.92,8.942
Analysis,1,244,670,15.71,15.737
Analysis,1,272,670,22.729,22.743
Analysis,1,286,715,7.41,7.419
Analysis,1,281,670,25.81,25.833
Analysis,1,291,715,10.89,10.913
Analysis,1,248,670,24.56,24.585
Analysis,1,286,715,7.37,7.39
Analysis,1,248,670,27.43,27.458
Analysis,1,286,714,7.77,7.785
Analysis,1,278,670,30.64,30.671
Analysis,1,285,715,11.05,11.067
Analysis,1,283,670,30.07,30.145
Analysis,1,243,670,26.75,26.775
Analysis,1,287,715,7.66,7.675
Analysis,1,280,670,17.73,17.742
Analysis,1,284,715,8.79,8.815
Analysis,1,279,670,19.32,19.346
Analysis,1,287,714,8.79,8.802
Analysis,1,277,670,24.04,24.055
Analysis,1,284,715,10.93,10.947
Analysis,1,268,670,22.23,22.255
Analysis,1,285,714,8.86,8.878
Analysis,1,247,670,17.89,17.912
Analysis,1,279,670,15.34,15.36
Analysis,1,287,714,10.85,10.868
Analysis,1,246,670,16.81,16.83
Analysis,1,285,715,10.83,10.851
Analysis,1,249,670,17.15,17.171
Analysis,1,286,714,10.32,10.343
Analysis,1,256,670,17.81,17.828
Analysis,1,285,715,10.38,10.398
Analysis,1,261,670,16.11,16.126
Analysis,1,285,715,10.92,10.939
Analysis,1,264,670,18.67,18.692
Analysis,1,252,670,24.01,24.044
Analysis,1,288,714,7.52,7.533
Analysis,1,258,670,24.11,24.137
Analysis,1,287,715,8.63,8.652
Analysis,1,279,670,25.61,25.639
Analysis,1,284,715,8.63,8.641
Analysis,1,281,670,28.56,28.589
Analysis,1,287,714,7.73,7.765
Analysis,1,273,670,22.58,22.597
Analysis,1,288,715,7.72,7.743
Analysis,1,255,670,17.87,17.885
Analysis,1,287,670,17.41,17.429
Analysis,1,285,715,10.93,10.955
Analysis,1,281,670,18.16,18.184
Analysis,1,289,714,7.7,7.724
Analysis,1,242,670,23.01,23.037
Analysis,1,288,715,7.39,7.403
Analysis,1,251,670,23.48,23.506
Analysis,1,287,714,8.74,8.754
Analysis,1,246,670,20.9,20.92
Analysis,1,287,715,7.26,7.274
Analysis,1,282,670,23.599,23.749
Analysis,1,280,670,20.19,20.207
Analysis,1,287,714,7.69,7.708
Analysis,1,266,670,20.07,20.096
Analysis,1,287,714,7.57,7.587
Analysis,1,276,670,22.28,22.299
Analysis,1,286,715,7.49,7.503
Analysis,1,277,670,15.88,15.895
Analysis,1,287,715,7.62,7.639
Analysis,1,257,670,24.78,24.801
Analysis,1,284,714,9.007,9.023
Analysis,1,279,670,19.94,19.967
Analysis,1,258,670,17.01,17.022
Analysis,1,241,670,22.54,22.553
Analysis,1,287,715,10.93,10.95
Analysis,1,272,670,17.01,17.037
Analysis,1,286,715,7.32,7.329
Analysis,1,251,670,16.28,16.3
Analysis,1,286,714,7.34,7.359
Analysis,1,246,670,17.89,17.919
Analysis,1,288,715,8.66,8.67
Analysis,1,250,670,27.39,27.418
Analysis,1,288,715,10.52,10.546
Analysis,1,250,670,17.34,17.362
Analysis,1,283,670,16.84,16.859
Analysis,1,285,715,7.58,7.592
Analysis,1,249,670,22.3,22.323
Analysis,1,286,714,9.04,9.256
Analysis,1,253,670,18.37,18.385
Analysis,1,288,715,7.58,7.587
Analysis,1,245,670,23.57,23.599
Analysis,1,284,714,10.4,10.422
Analysis,1,248,670,28.54,28.564
Analysis,1,288,715,7.63,7.644
Analysis,1,247,670,22.724,22.98
Analysis,1,256,670,26.56,26.586
Analysis,1,292,715,7.33,7.346
Analysis,1,235,670,23.39,23.423
Analysis,1,287,715,11.14,11.159
Analysis,1,248,670,24.69,24.726
Analysis,1,284,715,10.75,10.775
Analysis,1,277,670,24.19,24.206
Analysis,1,285,714,7.59,7.607
Analysis,1,246,670,24.21,24.24
Analysis,1,285,715,8.78,8.796
Analysis,1,281,670,17.68,17.707
Analysis,1,258,670,16.26,16.276
Analysis,1,287,714,8.63,8.644
Analysis,1,242,670,21.32,21.334
Analysis,1,290,715,7.78,7.806
Analysis,1,245,670,16.94,16.958
Analysis,1,285,715,10.21,10.232
Analysis,1,285,670,22.95,22.986
Analysis,1,293,715,7.26,7.28
Analysis,1,285,670,22.5,22.521
Analysis,1,288,715,7.43,7.447
Analysis,1,241,670,14.65,14.671
